row_number,country_region,Confirmed,Death,Recovered,Confirmed_Death_Ratio,Confirmed_Recovered_Ration
182,Saudi Arabia,123111168,1861008,114581500,66.15,1.07
183,Senegal,7893507,187805,6913315,42.03,1.14
184,Serbia,95624419,958289,733305,99.79,130.40
185,Seychelles,608196,2485,507887,244.75,1.20
186,Sierra Leone,1008350,27247,722960,37.01,1.39
187,Singapore,21476559,11233,20135657,1911.92,1.07
188,Slovakia,55789871,1282065,39769995,43.52,1.40
189,Slovenia,35538663,691543,31296693,51.39,1.14
190,Solomon Islands,3818,0,2573,0.00,1.48
191,Somalia,2211790,85048,1217171,26.01,1.82
192,South Africa,345940039,10250036,310037579,33.75,1.12
193,South Korea,20814483,346001,18083341,60.16,1.15
194,South Sudan,1748600,24580,1331152,71.14,1.31
195,Spain,649111763,19065104,61193618,34.05,10.61
196,Sri Lanka,15676007,91579,13707143,171.17,1.14
197,St. Martin,4,0,0,0.00,0.00
198,Sudan,7632455,488709,4945338,15.62,1.54
199,Suriname,2148896,42262,1943058,50.85,1.11
200,Sweden,142264880,3336122,160063,42.64,888.81
201,Switzerland,115902800,2188496,67989183,52.96,1.70
202,Syria,3494790,223163,2126985,15.66,1.64
203,Taiwan,339919,3687,262601,92.19,1.29
204,Tajikistan,3988242,29478,3706798,135.30,1.08
205,Tanzania,205081,8411,72727,24.38,2.82
206,Thailand,7139288,42897,4109064,166.43,1.74
207,The Bahamas,3,0,0,0.00,0.00
208,The Gambia,1,0,0,0.00,0.00
209,Timor-Leste,183796,299,99109,614.70,1.85
210,Togo,1691382,23450,1395355,72.13,1.21
211,Trinidad and Tobago,2119871,38297,1713975,55.35,1.24
212,Tunisia,44779270,1502918,35481322,29.79,1.26
213,Turkey,618940956,6841158,564170558,90.47,1.10
214,Uganda,8016407,66045,4802094,121.38,1.67
215,UK,783794384,29171984,2327572,26.87,336.74
216,Ukraine,310910152,6228387,234410665,49.92,1.33
217,United Arab Emirates,83739255,288328,77929785,290.43,1.07
218,Uruguay,17112011,212611,14253442,80.49,1.20
219,US,6049145667,123303762,503370956,49.06,12.02
220,Uzbekistan,22207571,170013,21035683,130.62,1.06
221,Vanuatu,406,39,252,10.41,1.61
222,Vatican City,4,0,0,0.00,0.00
223,Venezuela,35958070,346781,32755750,103.69,1.10
224,Vietnam,615984,10220,486370,60.27,1.27
225,West Bank and Gaza,41819444,440378,37003116,94.96,1.13
226,Yemen,962066,237613,506523,4.05,1.90
227,Zambia,13493953,205990,12625626,65.51,1.07
228,Zimbabwe,6484581,237234,5594887,27.33,1.16
